,source_alphabet_size,source_density,source_dimension,source_stationary_state,training_length,ci_words_length,nll_source,nll_learned
383,8,0.1,16,True,[100000],4,-2.9530296880494005,-3.0128482313573155
384,8,0.1,16,True,[100000],4,-2.9530296880494005,-3.0130061686347314
385,8,0.1,16,True,[100000],4,-2.9530296880494005,-3.0123763366371907
386,8,0.1,16,True,[100000],4,-2.9530296880494005,-3.0124707810541147
387,8,0.1,16,True,[100000],4,-2.9530296880494005,-3.0123328148817676
388,8,0.1,16,True,[100000],4,-2.9530296880494005,-3.012461178330432
389,8,0.1,16,True,[100000],4,-2.9530296880494005,-3.0120545925716815
390,8,0.5,2,True,[100000],2,-2.7760634548987118,-2.7758327517230725
391,8,0.5,2,True,[100000],4,-2.7760634548987118,-2.8047650737744845
392,8,0.5,4,True,[100000],2,-2.96246259208975,-2.976661359009723
393,8,0.5,4,True,[100000],2,-2.96246259208975,-2.9635006662878602
394,8,0.5,4,True,[100000],4,-2.96246259208975,-3.021983740199744
395,8,0.5,4,True,[100000],4,-2.96246259208975,-3.0213445376843673
396,8,0.5,8,True,[100000],2,-2.981986566996321,-2.984652453206302
397,8,0.5,8,True,[100000],2,-2.981986566996321,-2.9822687862725226
398,8,0.5,8,True,[100000],2,-2.981986566996321,-2.981384429740523
399,8,0.5,8,True,[100000],2,-2.981986566996321,-2.9829194804591794
